K,k,size,accuracy,precision,recall,f1
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,0.0,0.0,0.0,0.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
3000.0,1.0,3000.0,1.0,1.0,1.0,1.0
